Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
100,Giulia Gwinn,de GER,DF,Bayern Munich,25,1999,19,18,"1,629",18.1,0,1,1,0,0,0,1,0,2,2,1.3,3.4,24,60,101,0,0.06,0.06,0,0.06,0.11,0.07,0.18,0.11,0.18,Matches
101,Suya Haering,nz NZL,DF,Turbine Potsdam,19,2005,12,10,817,9.1,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,6,10,13,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
102,Chantal Hagel,de GER,MF,Wolfsburg,26,1998,9,1,192,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,2,11,12,0,0,0,0,0,0.28,0.08,0.36,0.28,0.36,Matches
103,Chiara Hahn,de GER,"DF,MF",Hoffenheim,22,2002,13,3,500,5.6,0,2,2,0,0,0,1,0,0.6,0.6,0.4,1,14,33,28,0,0.36,0.36,0,0.36,0.1,0.07,0.17,0.1,0.17,Matches
104,Maya Hahn,nz NZL,MF,Turbine Potsdam,23,2001,19,13,"1,220",13.6,0,0,0,0,0,0,3,1,0.3,0.3,0.6,0.9,8,34,26,0,0,0,0,0,0.02,0.05,0.06,0.02,0.06,Matches
105,Vanessa Haim,de GER,"FW,MF",Leverkusen,27,1997,4,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
106,Synne Hansen,no NOR,DF,Leverkusen,28,1995,8,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,9,18,24,0,0,0,0,0,0.05,0.17,0.22,0.05,0.22,Matches
107,Tuva Hansen,no NOR,DF,Bayern Munich,26,1997,20,16,"1,449",16.1,0,2,2,0,0,0,1,0,0,0,1.3,1.3,15,76,46,0,0.12,0.12,0,0.12,0,0.08,0.08,0,0.08,Matches
108,Pernille Harder,dk DEN,"FW,MF",Bayern Munich,31,1992,22,21,"1,757",19.5,14,5,19,14,0,0,0,0,10.6,10.6,3.2,13.7,48,58,135,0.72,0.26,0.97,0.72,0.97,0.54,0.16,0.7,0.54,0.7,Matches
109,Franziska Harsch,de GER,MF,Hoffenheim,27,1997,14,10,800,8.9,0,0,0,0,0,0,2,0,1.1,1.1,0.2,1.3,1,31,4,0,0,0,0,0,0.13,0.02,0.15,0.13,0.15,Matches
110,Lina Hausicke,de GER,"MF,DF",Werder Bremen,26,1997,7,5,468,5.2,0,0,0,0,0,0,1,1,0.6,0.6,0,0.6,3,23,12,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
111,Janina Hechler,de GER,DF,Köln,25,1999,16,16,"1,374",15.3,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1,19,47,4,0.07,0,0.07,0.07,0.07,0.05,0.01,0.07,0.05,0.07,Matches
112,Marina Hegering,de GER,DF,Wolfsburg,34,1990,15,14,"1,064",11.8,1,1,2,1,0,0,2,0,1,1,0.6,1.7,14,89,5,0.08,0.08,0.17,0.08,0.17,0.09,0.05,0.14,0.09,0.14,Matches
113,Kathrin Hendrich,de GER,DF,Wolfsburg,32,1992,16,13,"1,096",12.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,16,59,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
114,Elvira Herzog,ch SUI,GK,RB Leipzig,24,2000,22,22,"1,980",22,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Matches
