Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG-90,npxG-90,xAG-90,npxG+xAG-90,PrgC-90,PrgP-90,PrgR-90,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK-90,xG-90,xAG-90,xG+xAG-90,npxG-90,npxG+xAG-90,Matches
80,Abby Dahlkemper,us USA,DF,Wave,30,1993,13,12,"1,125",12.5,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,4,53,2,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches
81,Tierna Davidson,us USA,DF,Gotham FC,25,1998,19,16,"1,417",15.7,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,9,96,8,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches
82,Debinha,br BRA,"FW,MF",Current,32,1991,22,17,"1,464",16.3,3,6,9,3,0,0,0,0,4.8,4.8,5.7,10.4,38,83,105,0.18,0.37,0.55,0.18,0.55,0.29,0.35,0.64,0.29,0.64,Matches
83,Kate Del Fava,us USA,DF,Royals,25,1998,26,26,"2,340",26,2,1,3,2,0,0,3,0,2.2,2.2,0.9,3.1,6,85,8,0.08,0.04,0.12,0.08,0.12,0.08,0.03,0.12,0.08,0.12,Matches
84,Savannah Demelo,us USA,"MF,FW",Louisville,25,1998,21,20,"1,748",19.4,5,2,7,4,1,2,5,0,5.6,4.1,4,8.1,45,77,126,0.26,0.1,0.36,0.21,0.31,0.29,0.21,0.5,0.21,0.41,Matches
85,Ana Dias,pt POR,"FW,MF",Thorns,26,1997,10,2,237,2.6,1,0,1,1,0,0,3,0,2.2,2.2,0.1,2.3,4,2,12,0.38,0,0.38,0.38,0.38,0.82,0.05,0.87,0.82,0.87,Matches
86,Vanessa DiBernardo,us USA,"MF,FW",Current,31,1992,23,20,"1,531",17,5,6,11,5,0,0,3,0,3.2,3.2,3.9,7.2,29,108,76,0.29,0.35,0.65,0.29,0.65,0.19,0.23,0.42,0.19,0.42,Matches
87,Claudia Dickey,us USA,GK,Reign,24,2000,18,18,"1,589",17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Marisa DiGrande,us USA,MF,Louisville,26,1997,23,20,"1,758",19.5,1,2,3,1,0,0,0,0,0.8,0.8,1.1,1.9,20,82,65,0.05,0.1,0.15,0.05,0.15,0.04,0.06,0.1,0.04,0.1,Matches
89,Maya Doms,us USA,MF,Bay FC,22,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,1,0,0,0,0,0,0.24,0.15,0.4,0.24,0.4,Matches
90,Makenzy Doniak,us USA,"FW,MF",Wave,29,1994,24,17,"1,411",15.7,3,1,4,3,0,0,0,0,2.8,2.8,1.9,4.8,22,40,103,0.19,0.06,0.26,0.19,0.26,0.18,0.12,0.31,0.18,0.31,Matches
91,Imani Dorsey,us USA,DF,Royals,27,1996,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
92,Meggie Dougherty Howard,us USA,MF,Angel City,28,1995,18,14,"1,165",12.9,1,2,3,1,0,0,2,0,1.5,1.5,1.9,3.4,15,56,53,0.08,0.15,0.23,0.08,0.23,0.12,0.15,0.26,0.12,0.26,Matches
